feature,importance
ENROLL_YOY,0.04976857819103752
ENROLL_UG_YOY,0.04387344162483472
ENROLL_3Y_TREND,0.029178249596083845
EAP_INST_TENURETRACK,0.0200588604249001
RET_PCF,0.019556829946096536
SFTEBFO,0.019426312393201205
STAFF_YOY,0.017396694218635222
EF_GRADUATE,0.015423108956500583
F1C071,0.015330480135711621
F1B05,0.015270984163650622
F1E06,0.015143908684862149
F1E03,0.014508857339872382
F1B16,0.014351226829830113
EXP_YOY,0.01352799137256884
REVENUE_PER_STAFF,0.013138159248316758
SFTENRCM,0.013124571845616197
STUDENT_STAFF_RATIO,0.01282923512651179
TUITION_PER_STUDENT,0.012782822958677451
PT_INSTRUCTIONAL_SHARE,0.012265406769210575
F1C19OM,0.0118233653357812
