UNITID,SALTOTL,SALPROF,SALASSC,SALASST,SALINST,SALLECT,SALNRNK,SFTETOTL,SFTEPSTC,SFTEINST,SFTERSRC,SFTEPBSV,SFTELCAI,SFTELCA,SFTEOTIS,SFTEMNGM,SFTEBFO,SFTECES,SFTECLAM,SFTEHLTH,SFTEOTHR,SFTESRVC,SFTESALE,SFTEOFAS,SFTENRCM,SFTEPTMM
100654,,,,,,,,794.0,,247.0,,,,,,74.0,35.0,36.0,124.0,1.0,,54.0,3.0,173.0,9.0,13.0
100663,,,,,,,,8182.0,,2271.0,,,,,,328.0,1032.0,1360.0,311.0,418.0,,682.0,,1266.0,303.0,85.0
100690,,,,,,,,68.0,,37.0,,,,,,6.0,3.0,4.0,,,,,,0.0,2.0,
100706,,,,,,,,1398.0,,358.0,,,,,,104.0,73.0,469.0,59.0,3.0,,87.0,,190.0,28.0,1.0
100724,,,,,,,,970.0,,322.0,2.0,,,,,78.0,38.0,29.0,93.0,4.0,,146.0,8.0,122.0,39.0,9.0
100733,,,,,,,,82.0,,,,,,,,15.0,15.0,5.0,19.0,,,1.0,,26.0,,
100751,,,,,,,,5665.0,,1474.0,,,,,,516.0,414.0,434.0,491.0,206.0,,719.0,27.0,849.0,209.0,118.0
100760,,,,,,,,165.0,,82.0,,,,,,15.0,1.0,1.0,,,,11.0,,50.0,,
100812,,,,,,,,266.0,,121.0,,,,,,25.0,9.0,8.0,9.0,,,17.0,,42.0,9.0,2.0
100830,,,,,,,,678.0,,251.0,,,,,,119.0,41.0,48.0,25.0,5.0,,43.0,3.0,112.0,,2.0
100858,,,,,,,,5246.0,,1267.0,23.0,232.0,,,,385.0,292.0,729.0,512.0,136.0,,357.0,15.0,857.0,205.0,61.0
100937,,,,,,,,323.0,,102.0,,,,,,41.0,9.0,10.0,53.0,4.0,,18.0,2.0,46.0,10.0,1.0
101028,,,,,,,,138.0,,70.0,,,,,,15.0,3.0,2.0,2.0,,,9.0,1.0,25.0,2.0,1.0
101073,,,,,,,,89.0,,25.0,,,,,,5.0,8.0,,,,,11.0,13.0,6.0,,
101116,,,,,,,,76.0,,33.0,,,,,,17.0,,,,,,,,22.0,2.0,
101143,,,,,,,,169.0,,85.0,,,,,,1.0,6.0,3.0,2.0,,,19.0,2.0,29.0,,1.0
101161,,,,,,,,212.0,,121.0,,,,,,,,,,,,,,,,
101189,,,,,,,,359.0,,173.0,,,,,,30.0,7.0,1.0,54.0,0.0,,10.0,,43.0,,1.0
101240,,,,,,,,496.0,,210.0,,,,,,37.0,11.0,22.0,22.0,1.0,,38.0,,85.0,16.0,
101277,,,,,,,,10.0,,6.0,,,,,,1.0,2.0,,,,,,,1.0,,
101286,,,,,,,,342.0,,164.0,,,,,,24.0,6.0,12.0,5.0,1.0,,11.0,,47.0,7.0,7.0
101295,,,,,,,,393.0,,216.0,,,,,,32.0,8.0,4.0,8.0,,,17.0,,70.0,15.0,
101301,,,,,,,,188.0,,78.0,,,,,,19.0,5.0,6.0,13.0,,,15.0,,32.0,,2.0
101365,,,,,,,,32.0,,14.0,,,,,,2.0,,1.0,,,,1.0,,4.0,,
101435,,,,,,,,207.0,,60.0,,,,,,24.0,15.0,3.0,47.0,1.0,,29.0,,18.0,,
101453,,,,,,,,33.0,,6.0,,,,,,9.0,6.0,1.0,,,,1.0,,8.0,1.0,
101462,,,,,,,,118.0,,53.0,,,,,,7.0,7.0,4.0,,,,4.0,,15.0,,
101471,,,,,,,,116.0,,38.0,,,,,,9.0,8.0,2.0,1.0,,,1.0,,16.0,0.0,1.0
101480,,,,,,,,957.0,,369.0,,,,,,93.0,13.0,40.0,96.0,2.0,,131.0,3.0,131.0,37.0,7.0
101499,,,,,,,,100.0,,47.0,,,,,,11.0,3.0,2.0,,,,8.0,,13.0,,
101505,,,,,,,,475.0,,244.0,,,,,,9.0,16.0,5.0,12.0,,,39.0,1.0,91.0,5.0,
101514,,,,,,,,521.0,,271.0,,,,,,25.0,2.0,23.0,19.0,,,27.0,,115.0,12.0,
101541,,,,,,,,99.0,,35.0,,2.0,,,,8.0,1.0,3.0,1.0,3.0,,15.0,1.0,9.0,3.0,
101569,,,,,,,,279.0,,121.0,,0.0,,,,28.0,6.0,6.0,13.0,0.0,,18.0,6.0,58.0,4.0,1.0
101587,,,,,,,,536.0,,163.0,4.0,4.0,,,,44.0,38.0,14.0,70.0,,,62.0,,92.0,26.0,4.0
101602,,,,,,,,144.0,,73.0,,,,,,11.0,11.0,4.0,10.0,,,6.0,,26.0,1.0,0.0
101648,,,,,,,,106.0,,21.0,,,,,,10.0,5.0,1.0,8.0,1.0,,21.0,2.0,13.0,4.0,3.0
101675,,,,,,,,308.0,,103.0,,,,,,21.0,9.0,5.0,28.0,2.0,,58.0,,71.0,,
101693,,,,,,,,243.0,,111.0,,,,,,27.0,11.0,6.0,34.0,1.0,,9.0,,40.0,,
101709,,,,,,,,478.0,,169.0,,,,,,42.0,17.0,,82.0,7.0,,50.0,,67.0,28.0,
101736,,,,,,,,284.0,,102.0,,,,,,28.0,5.0,6.0,14.0,,,19.0,,50.0,,2.0
101879,,,,,,,,689.0,,281.0,,,,,,51.0,29.0,21.0,38.0,6.0,,79.0,,89.0,24.0,6.0
101897,,,,,,,,191.0,,89.0,,,,,,7.0,2.0,3.0,9.0,,,11.0,7.0,30.0,4.0,
101912,,,,,,,,362.0,,108.0,4.0,1.0,,,,70.0,27.0,20.0,14.0,4.0,,29.0,1.0,56.0,17.0,3.0
101949,,,,,,,,145.0,,54.0,,,,,,12.0,1.0,1.0,4.0,,,6.0,,24.0,,
101958,,,,,,,,12.0,,12.0,,,,,,,,,,,,,,,,
101994,,,,,,,,64.0,,27.0,,,,,,5.0,3.0,2.0,1.0,,,5.0,,6.0,,
102030,,,,,,,,298.0,,110.0,,,,,,18.0,,3.0,8.0,,,29.0,,87.0,,
102049,,,,,,,,1009.0,,366.0,,,,,,109.0,49.0,40.0,117.0,12.0,,28.0,5.0,220.0,19.0,4.0
102058,,,,,,,,72.0,,54.0,,,,,,,2.0,0.0,1.0,6.0,,1.0,,,1.0,
102067,,,,,,,,372.0,,134.0,,,,,,59.0,4.0,14.0,3.0,,,5.0,,116.0,21.0,
102076,,,,,,,,151.0,,72.0,,,,,,18.0,2.0,3.0,7.0,,,14.0,,31.0,1.0,
102094,,,,,,,,2857.0,,879.0,,,,,,178.0,150.0,146.0,97.0,267.0,,262.0,10.0,568.0,106.0,13.0
102234,,,,,,,,285.0,,93.0,,1.0,,,,36.0,7.0,10.0,45.0,0.0,,38.0,,35.0,10.0,2.0
102261,,,,,,,,29.0,,10.0,,,,,,4.0,1.0,,,,,,,2.0,2.0,
102270,,,,,,,,170.0,,54.0,,,,,,15.0,8.0,3.0,24.0,1.0,,43.0,,13.0,,
102298,,,,,,,,140.0,,42.0,,,,,,34.0,2.0,4.0,17.0,1.0,,12.0,2.0,14.0,10.0,1.0
102313,,,,,,,,151.0,,72.0,,,,,,15.0,7.0,4.0,1.0,,,7.0,,22.0,,
102368,,,,,,,,2109.0,,844.0,,,,,,182.0,70.0,73.0,208.0,7.0,,55.0,57.0,360.0,3.0,5.0
102377,,,,,,,,679.0,,267.0,23.0,4.0,,,,29.0,52.0,18.0,55.0,3.0,,37.0,,81.0,13.0,1.0
102395,,,,,,,,50.0,,15.0,,,,,,7.0,4.0,4.0,4.0,,,,2.0,10.0,2.0,1.0
102429,,,,,,,,422.0,,186.0,,,,,,31.0,15.0,7.0,46.0,,,46.0,,49.0,,
102553,,,,,,,,2067.0,,1017.0,78.0,90.0,,,,126.0,21.0,75.0,84.0,4.0,,30.0,12.0,377.0,75.0,4.0
102580,,,,,,,,9.0,,4.0,,,,,,,2.0,,,,,,,,1.0,
102614,,,,,,,,2380.0,,703.0,588.0,170.0,,,,189.0,70.0,68.0,73.0,10.0,,43.0,2.0,271.0,108.0,27.0
102632,,,,,,,,397.0,,180.0,6.0,5.0,,,,39.0,12.0,19.0,15.0,1.0,,30.0,2.0,67.0,13.0,
102669,,,,,,,,123.0,,50.0,1.0,2.0,,,,14.0,7.0,8.0,14.0,,,2.0,2.0,23.0,,
102711,,,,,,,,80.0,,40.0,,,,,,2.0,1.0,3.0,,,,16.0,,13.0,5.0,
102845,,,,,,,,326.0,,115.0,,,,,,43.0,37.0,5.0,24.0,,,5.0,36.0,37.0,,
103501,,,,,,,,55.0,,22.0,,,,,,6.0,2.0,3.0,,,,,,18.0,,1.0
103529,,,,,,,,244.0,,,,11.0,,,,65.0,42.0,52.0,4.0,,,1.0,1.0,55.0,,
103644,,,,,,,,74.0,,48.0,,,,,,8.0,2.0,1.0,,,,,,14.0,,
103723,,,,,,,,15.0,,7.0,,,,,,1.0,2.0,0.0,,,,,,,,1.0
103732,,,,,,,,4.0,,2.0,,,,,,1.0,,,,,,,,1.0,,
103741,,,,,,,,10.0,,7.0,,,,,,1.0,,,,,,,,1.0,,
103778,,,,,,,,190.0,,35.0,,,,,,16.0,78.0,12.0,14.0,,,,,27.0,,
103787,,,,,,,,25.0,,10.0,,,,,,3.0,,1.0,,,,6.0,,3.0,1.0,
103811,,,,,,,,85.0,,35.0,,,,,,11.0,5.0,,,,,,29.0,5.0,,
103893,,,,,,,,45.0,,16.0,,,,,,7.0,1.0,,,,,1.0,,4.0,,
103909,,,,,,,,55.0,,17.0,,,,,,16.0,1.0,1.0,,,,1.0,,4.0,,
103927,,,,,,,,31.0,,7.0,,,,,,11.0,1.0,,,,,,,1.0,,
103945,,,,,,,,23.0,,7.0,,,,,,2.0,,,,,,,,1.0,,
103954,,,,,,,,5.0,,3.0,,,,,,1.0,,,,,,,,1.0,,
103963,,,,,,,,70.0,,29.0,,,,,,6.0,6.0,,,,,6.0,6.0,10.0,,
104090,,,,,,,,84.0,,32.0,,,,,,5.0,6.0,1.0,,,,8.0,10.0,16.0,,
104151,,,,,,,,7321.0,,2009.0,120.0,0.0,,,,997.0,832.0,1180.0,577.0,54.0,,197.0,19.0,809.0,173.0,60.0
104160,,,,,,,,628.0,,219.0,3.0,8.0,,,,55.0,17.0,25.0,35.0,2.0,,67.0,,132.0,15.0,7.0
104179,,,,,,,,10993.0,,2045.0,903.0,,,,,200.0,1393.0,1500.0,438.0,852.0,,813.0,45.0,1319.0,331.0,125.0
104188,,,,,,,,18.0,,15.0,,,,,,,,,,,,,,2.0,,
104346,,,,,,,,540.0,,202.0,,,,,,47.0,9.0,57.0,23.0,15.0,,54.0,,76.0,,
104364,,,,,,,,54.0,,22.0,,,,,,13.0,1.0,,,,,,,14.0,,
104391,,,,,,,,14.0,,7.0,,,,,,4.0,,,,,,,,2.0,,
104425,,,,,,,,456.0,,166.0,,,,,,61.0,15.0,19.0,37.0,3.0,,26.0,,68.0,20.0,
104434,,,,,,,,4.0,,3.0,,,,,,1.0,,,,,,,,,,
104443,,,,,,,,10.0,,7.0,,,,,,1.0,,,,,,,,2.0,,
104504,,,,,,,,13.0,,6.0,,,,,,2.0,2.0,,,,,,1.0,1.0,0.0,
104568,,,,,,,,34.0,,16.0,,,,,,2.0,1.0,,,,,6.0,2.0,3.0,0.0,2.0
104577,,,,,,,,411.0,,177.0,,,,,,15.0,14.0,10.0,18.0,3.0,,50.0,,79.0,,
104586,,,,,,,,327.0,,106.0,,,,,,35.0,36.0,2.0,,,,13.0,,20.0,,56.0
104665,,,,,,,,9.0,,6.0,,,,,,,,,,,,,,,,
104708,,,,,,,,981.0,,522.0,,,,,,38.0,14.0,42.0,42.0,2.0,,44.0,,234.0,15.0,1.0
104717,,,,,,,,4509.0,,1468.0,,,,,,420.0,243.0,166.0,1256.0,21.0,,235.0,13.0,177.0,6.0,3.0
104911,,,,,,,,35.0,,9.0,,,,,,7.0,9.0,,2.0,,,2.0,6.0,1.0,,
105136,,,,,,,,447.0,,,,,,,,103.0,95.0,72.0,18.0,,,4.0,,122.0,12.0,
105145,,,,,,,,430.0,,216.0,,,,,,21.0,7.0,10.0,37.0,3.0,,11.0,,90.0,6.0,
105154,,,,,,,,1074.0,,594.0,,,,,,33.0,13.0,39.0,70.0,6.0,,35.0,,226.0,20.0,
105163,,,,,,,,38.0,,16.0,,,,,,6.0,1.0,1.0,,,,,,12.0,,
105172,,,,,,,,44.0,,15.0,,,,,,9.0,2.0,1.0,,,,,,15.0,,
105206,,,,,,,,375.0,,168.0,,,,,,29.0,9.0,19.0,17.0,,,24.0,,83.0,,1.0
105215,,,,,,,,139.0,,75.0,,,,,,14.0,42.0,,,,,,,3.0,5.0,
105297,,,,,,,,259.0,,71.0,,,,,,16.0,10.0,9.0,,,,59.0,,42.0,,
105330,,,,,,,,3199.0,,1239.0,12.0,,,,,105.0,456.0,336.0,209.0,30.0,,189.0,,251.0,93.0,30.0
105349,,,,,,,,304.0,,127.0,,,,,,29.0,20.0,17.0,13.0,,,2.0,,19.0,11.0,1.0
105367,,,,,,,,69.0,,38.0,,,,,,3.0,21.0,1.0,,,,,,3.0,,
105428,,,,,,,,664.0,,342.0,,,,,,22.0,11.0,21.0,61.0,4.0,,26.0,,135.0,11.0,1.0
105482,,,,,,,,13.0,,4.0,,,,,,1.0,1.0,,,0.0,,,1.0,2.0,,
