UNITID,SALTOTL,SALPROF,SALASSC,SALASST,SALINST,SALLECT,SALNRNK,SFTETOTL,SFTEPSTC,SFTEINST,SFTERSRC,SFTEPBSV,SFTELCAI,SFTELCA,SFTEOTIS,SFTEMNGM,SFTEBFO,SFTECES,SFTECLAM,SFTEHLTH,SFTEOTHR,SFTESRVC,SFTESALE,SFTEOFAS,SFTENRCM,SFTEPTMM
100654,,,,,,,,832.0,,279.0,2.0,,,,,81.0,41.0,35.0,109.0,2.0,,52.0,2.0,191.0,7.0,16.0
100663,,,,,,,,8334.0,,2331.0,,,,,,332.0,1063.0,1437.0,296.0,449.0,,674.0,,1220.0,318.0,80.0
100690,,,,,,,,68.0,,36.0,,,,,,3.0,8.0,5.0,,,,,,,,
100706,,,,,,,,1376.0,,387.0,,,,,,104.0,75.0,413.0,70.0,4.0,,94.0,,184.0,20.0,2.0
100724,,,,,,,,901.0,,306.0,6.0,,,,,68.0,37.0,28.0,86.0,3.0,,136.0,7.0,113.0,33.0,9.0
100733,,,,,,,,91.0,,,,,,,,15.0,22.0,5.0,20.0,,,1.0,,28.0,,
100751,,,,,,,,5888.0,,1508.0,,,,,,531.0,448.0,466.0,510.0,217.0,,759.0,27.0,877.0,213.0,118.0
100760,,,,,,,,181.0,,89.0,,,,,,16.0,7.0,1.0,1.0,,,22.0,,39.0,,
100812,,,,,,,,266.0,,115.0,,,,,,22.0,5.0,10.0,6.0,,,16.0,,55.0,8.0,2.0
100830,,,,,,,,647.0,,243.0,,,,,,109.0,21.0,47.0,24.0,5.0,,40.0,2.0,114.0,,4.0
100858,,,,,,,,5318.0,,1277.0,24.0,231.0,,,,414.0,288.0,682.0,522.0,131.0,,406.0,16.0,919.0,226.0,58.0
100937,,,,,,,,317.0,,109.0,,,,,,33.0,11.0,9.0,53.0,5.0,,18.0,2.0,40.0,10.0,2.0
101028,,,,,,,,137.0,,68.0,,,,,,16.0,1.0,2.0,3.0,,,9.0,1.0,27.0,2.0,1.0
101073,,,,,,,,109.0,,34.0,,,,,,7.0,5.0,,,,,16.0,19.0,7.0,,
101116,,,,,,,,65.0,,28.0,,,,,,18.0,,,,,,,,16.0,2.0,
101143,,,,,,,,154.0,,81.0,,,,,,1.0,6.0,3.0,2.0,,,13.0,2.0,29.0,,1.0
101161,,,,,,,,210.0,,126.0,,,,,,,,,,,,,,,,
101189,,,,,,,,354.0,,171.0,,,,,,30.0,7.0,,55.0,0.0,,10.0,0.0,41.0,,1.0
101240,,,,,,,,481.0,,200.0,,,,,,37.0,11.0,21.0,21.0,1.0,,30.0,,105.0,14.0,
101277,,,,,,,,10.0,,6.0,,,,,,1.0,1.0,,,,,,,2.0,,
101286,,,,,,,,332.0,,160.0,,,,,,23.0,7.0,11.0,6.0,1.0,,10.0,,46.0,8.0,5.0
101295,,,,,,,,407.0,,210.0,,,,,,29.0,7.0,4.0,11.0,,,24.0,,63.0,13.0,
101301,,,,,,,,178.0,,74.0,,,,,,12.0,7.0,6.0,17.0,,,17.0,,29.0,,1.0
101365,,,,,,,,34.0,,16.0,,,,,,2.0,,,,,,1.0,,5.0,,
101435,,,,,,,,210.0,,68.0,,,,,,25.0,16.0,4.0,45.0,1.0,,20.0,,11.0,8.0,
101453,,,,,,,,31.0,,6.0,,,,,,9.0,6.0,1.0,,,,1.0,,6.0,1.0,
101462,,,,,,,,105.0,,47.0,,,,,,8.0,5.0,4.0,,,,3.0,,18.0,,
101471,,,,,,,,119.0,,39.0,,,,,,9.0,7.0,2.0,1.0,,,2.0,,17.0,0.0,1.0
101480,,,,,,,,952.0,,363.0,,,,,,97.0,12.0,45.0,96.0,3.0,,131.0,,129.0,36.0,7.0
101499,,,,,,,,97.0,,48.0,,,,,,12.0,3.0,3.0,,,,6.0,,12.0,,
101505,,,,,,,,493.0,,246.0,,,,,,9.0,16.0,5.0,13.0,,,43.0,1.0,98.0,6.0,
101514,,,,,,,,519.0,,263.0,,,,,,29.0,3.0,23.0,30.0,,,28.0,,99.0,11.0,
101541,,,,,,,,101.0,,37.0,,2.0,,,,6.0,2.0,3.0,2.0,3.0,,14.0,1.0,10.0,3.0,
101569,,,,,,,,290.0,,124.0,,,,,,29.0,7.0,5.0,13.0,0.0,,19.0,5.0,64.0,4.0,1.0
101587,,,,,,,,497.0,,162.0,1.0,3.0,,,,40.0,33.0,14.0,59.0,,,57.0,,82.0,27.0,4.0
101602,,,,,,,,152.0,,76.0,,,,,,11.0,11.0,4.0,11.0,,,5.0,,27.0,1.0,
101648,,,,,,,,109.0,,21.0,,,,,,10.0,6.0,1.0,8.0,1.0,,21.0,2.0,15.0,4.0,3.0
101675,,,,,,,,294.0,,108.0,,,,,,19.0,9.0,3.0,26.0,3.0,,62.0,,53.0,,
101693,,,,,,,,230.0,,101.0,,,,,,25.0,13.0,6.0,36.0,2.0,,8.0,,34.0,,
101709,,,,,,,,485.0,,168.0,,,,,,48.0,17.0,,66.0,8.0,,57.0,,71.0,25.0,
101736,,,,,,,,287.0,,100.0,,,,,,29.0,6.0,6.0,14.0,,,24.0,,50.0,0.0,
101879,,,,,,,,707.0,,274.0,,,,,,49.0,30.0,28.0,41.0,9.0,,87.0,,95.0,24.0,6.0
101897,,,,,,,,193.0,,88.0,,,,,,8.0,2.0,4.0,11.0,,,12.0,4.0,31.0,4.0,
101912,,,,,,,,331.0,,122.0,3.0,,,,,42.0,21.0,22.0,11.0,4.0,,30.0,0.0,49.0,17.0,2.0
101949,,,,,,,,137.0,,47.0,,,,,,12.0,1.0,2.0,3.0,,,6.0,,26.0,,
101958,,,,,,,,6.0,,3.0,,,,,,1.0,1.0,1.0,,,,,,0.0,,
101994,,,,,,,,60.0,,24.0,,,,,,5.0,3.0,2.0,3.0,,,4.0,,6.0,,
102030,,,,,,,,257.0,,103.0,,,,,,14.0,,3.0,8.0,,,26.0,,59.0,,
102049,,,,,,,,1037.0,,394.0,,,,,,107.0,45.0,46.0,122.0,28.0,,27.0,6.0,204.0,18.0,2.0
102058,,,,,,,,69.0,,45.0,,,,,,,3.0,,10.0,2.0,,1.0,,,1.0,
102067,,,,,,,,362.0,,131.0,,,,,,63.0,1.0,13.0,4.0,,,5.0,,108.0,21.0,
